,verified,votes,text,headlines,base_label,clean_label
30,0,0,"These glasses are an excellent value.  The fit is good and they are very comfortable.  Because of my legal blindness, there aren't a lot of options to try to see better, but I believe these help with my other visual aids, and because they are reasonably priced I can have more than one pair available.",These glasses are an excellent value. The fit is good and they are ...,2,2
31,0,3,"Always wanted to try straight razor shaving (as a DE safety razor user), and this was a cheap way for me to determine I was not into it.<br /><br />Because the blades are disposable and always sharp, I could put a new one in and reasonably rely upon that fact that cuts were probably due to my technique and not the blade.<br /><br />It's very hard to do straight razor shaving on yourself because the ANGLE is difficult to control without switching hands. Being very right-handed, I really couldn't do that. I bet I could shave someone else's face with it though.<br /><br />An immediate upside? Using a DE safety razor (slant edged even) seems SUPER safe now! I'm increased my speed with the DE due to that confidence, and I'd been using it for years now.",A fantastic way to cheaply try straight razor shaving.,1,2
32,0,0,"I usually either throw my toothbrush in a plastic bag with spare head so this product is very convenient for keeping all the parts apart, dry and undamaged, and i now keep it in my travel bag all the time ready to go.",Great for travel,1,1
33,0,0,Top quality.,Five Stars,2,1
34,1,6,"I recently picked this unit up at Bed and Bath where it was $99.00. With a 20% coupon the price was $80 (so comparison shop!) It's easy to use and seems to work well. I agree with other reviewers about the noise level (loud like a tea kettle boiling), but I use this unit in the living room area so sleeping is not an issue. Having the 2 separate water reservoirs to fill is much easier, weight-wise, as I previously had another humidifier which had one large water reservoir and it was very heavy when full. The unit comes apart quite easily for cleaning and since frequent cleaning is recommended (I usually do it 1x per week, not daily) this is a definite plus. Additionally, one only needs to use vinegar to clean the inside reservoir, which is a lot cheaper than having to buy some kind of \\""special\\"" cleaning solution. My one complaint is that it doesn't, but should, have an automatic shut off when both tanks are empty.I have to remember to turn the unit off when I leave the house. My previous humidifiers all had this auto turn off; seems like every humidifier should.",Seems to work well!,2,0
35,1,8,"Not sure what previous reviewer was talking about. The product uses ULTRASOUND waves for pain relief NOT heat.  After repeated use, the pain in my knee and shoulder was feeling great. I think you should re-read the description and reconsider your opinion. Great product sold by a great company.",deep heat?????,2,0
36,1,2,"The shippers were great....willing to consider speedier shipping options, but in the end the standard shipping arrived quickly enough. The thermometer is fun and easy to use, but with an inquisitive toddler, it would be nice to have the plastic cap attached to the body so that it doesn't disappear.  Would buy it again from these sellers.",Thermometer for a toddler,2,0
37,0,2,"Man, for all you who know what I'm talking about, this is the best thing I've ever had on my back.  I suffer from back pain constantly and find myself waking up in the middle of the night pushing parts of my back and neck on the edges of walls on the corners of doors and sometimes lying down on tennis or racket balls to get pressure on those dang trigger points.  I opted for the body sticks package not knowing what they would do and it was a good thing.  They are like have racket balls on the ends of sticks to beat your muscle spasms and to lie down on them rolling around on your back. It is worth the money.  They use a device similar to this in physical therapy so if you get your doctor to write you a script for it, insurance may very well pay for it like mine did.  Even so, paid or not, buy this sucker.  Buy two, I thought, just in case it breaks and they for some reason stop manufacturing this thing.  Good stuff.",Wow!,1,0
38,0,1,"I purchased this cane to assist me when I have to walk long distances.  I have rheumatoid arthritis that has particularly affected my low back and hips, and it sometimes makes walking difficult.  The problem with using a cane when you have RA is that RA doesn't just affect your lower extremities.  My hands, wrists, and shoulders are also affected.  When I tried a normal cane, it was agonizingly painful for my hand and wrist in particular.  That made it not worth using, even though it did help my hip and back.  A friend with similar issues recommended this one, and the difference was amazing.  It is still a bit hard on my hand after awhile, but not to the point that would make it not worth using.  There really is no perfect solution for this circumstance short of a wheelchair, and I'm nowhere near ready for that yet!  The forearm rest makes it bearable to use this cane, and it does really help me to walk longer distances when I need to!  It is a great product, and I'm happy that I purchased it!",Great cane for people with hand and wrist issues,0,1
39,0,8,"I use this all the time for the conventional (ie: not organic) fruits and vegetables I buy. Evidence that the ultrasonic cleaner does the job it claims to do is to be found in the bottom of the tank when done cleaning vegetables. Also, there is a noticeable change in surface texture, especially noticed with carrots. When the ozone generator cycles on, what bubbles to the surface of the water will irritate my nose if I sniff it, so I know its ozone. There are credible scientific studies published on the Internet which demonstrate that ozone will remove/neutralize pesticide residue from the SURFACE of fruits and vegetables.<br /><br />Bottom line, I find this appliance to be an investment worth the cost and if it ever breaks down, I'll surely buy another one.",I wish these were sold here in the US.,1,2
40,1,0,"I got this product for my boyfriend.<br />He works 3rd shift and goes to school, so<br />this item is helping him to have that<br />extra energy to keep going.<br />He says that these have a similar effect<br />to other supplements, he has taken, like this..<br />They do not start working immediately,<br />but do get into your system after a few days...<br />We received this item, free, in return for our honest<br />opinions, after testing the item.<br />The capsules do not really have a smell, and<br />they should not be a problem to swallow..",like this.,1,2
41,1,0,"I have been trying to loose weight for the last 6 months and not until I got the fitbit  did I finally begin loosing weight.  I love the graphs and I purchased the premium package so i would know more about the distribution of carbs, protein, and fat.  I have been steadily loosing weight eating my own food and walking in the mall.  I have recommended to several people.",what fun!!,1,2
42,0,2,"I had a total knee replacement in November 2010. Hospital was reluctant to release me because my O2 level was very low. The nurses wanted to perscribe bottled O2. Turns out that I was holding my breath when I was doing physical therapy. When I began outpatient P/T, I bought the meter to determine for myself what my O2 level was.  It was, and remained, normal.",Blood oxygen meter,0,0
43,1,1,"This toothbrush at the price cannot do you wrong, its solid design is great.  Although it vibrates a little too much where your hand holds it, it is still comfortable, leaving your mouth clean and plaque free.  As long as you follow the battery life maximizing instructions, you can't steer wrong (it's common among batteries to use, and then drain completely, and charge/use again).  It also comes with 3 replacement heads meaning the tooth brush should last you at least 8-9 months.  A good toothbrush at a local drugstore will run already $4-$5 dollars so picking this up for a good price is well worth it.  An excellent deal, an excellent product, highly recommended.",One of the best buys for its price.,2,1
44,0,0,"best cloud chaser out there, has amazing afc, and my favorite part is the block instead of a post! super easy to build on.",great,2,1
